,Ligand_name,Pose_count
236,CHEMBL568538,1
237,CHEMBL477821,0
238,CHEMBL3676914,0
239,CHEMBL4085780,0
240,CHEMBL268371,0
241,CHEMBL97856,0
242,CHEMBL3597654,1
243,CHEMBL77395,0
244,CHEMBL4550187,3
245,CHEMBL2029925,0
246,CHEMBL3676930,0
247,CHEMBL3104524,1
248,CHEMBL286725,0
249,CHEMBL2298813,0
250,CHEMBL66080,0
251,CHEMBL24539,0
252,CHEMBL215723,0
253,CHEMBL92438,1
254,CHEMBL401576,0
255,CHEMBL5185787,0
256,CHEMBL4459381,0
257,CHEMBL322567,0
258,CHEMBL37169,1
259,CHEMBL80469,1
260,CHEMBL3759865,0
261,CHEMBL476839,1
262,CHEMBL3676869,0
263,CHEMBL5178868,0
264,CHEMBL4590211,1
265,CHEMBL4580817,0
266,CHEMBL398813,0
267,CHEMBL272395,0
268,CHEMBL105354,0
269,CHEMBL1169904,0
270,CHEMBL569513,1
271,CHEMBL4760666,0
272,CHEMBL94371,0
273,CHEMBL239706,0
274,CHEMBL3597651,1
275,CHEMBL2059310,0
276,CHEMBL1256786,3
277,CHEMBL4743868,0
278,CHEMBL3770639,3
279,CHEMBL1774552,0
280,CHEMBL219185,0
281,CHEMBL3676915,0
282,CHEMBL4465414,0
283,CHEMBL4078409,0
284,CHEMBL3597638,1
285,CHEMBL103871,1
286,CHEMBL149510,1
287,CHEMBL4098236,0
288,CHEMBL187113,0
289,CHEMBL554738,0
290,CHEMBL147830,0
291,CHEMBL62996,0
292,CHEMBL1774550,0
293,CHEMBL157293,1
294,CHEMBL3588991,1
295,CHEMBL168544,0
296,CHEMBL4874914,0
297,CHEMBL476933,0
298,CHEMBL4450047,0
299,CHEMBL126285,0
300,CHEMBL3234237,0
301,CHEMBL91162,0
302,CHEMBL80833,3
303,CHEMBL4446507,0
304,CHEMBL4752833,0
305,CHEMBL197943,1
306,CHEMBL59554,1
307,CHEMBL75435,0
308,CHEMBL571,1
309,CHEMBL4095082,1
310,CHEMBL414433,0
311,CHEMBL28964,0
312,CHEMBL426062,0
313,CHEMBL4096353,0
314,CHEMBL284896,0
315,CHEMBL4846472,2
316,CHEMBL4875081,0
317,CHEMBL5170580,0
318,CHEMBL91229,0
319,CHEMBL1765631,1
320,CHEMBL437007,1
321,CHEMBL240887,1
322,CHEMBL210405,0
323,CHEMBL429,3
324,CHEMBL476934,1
325,CHEMBL4446597,0
326,CHEMBL366043,1
327,CHEMBL2059316,0
328,CHEMBL4451063,3
329,CHEMBL4092441,0
330,CHEMBL542573,0
331,CHEMBL4438434,0
332,CHEMBL203362,0
333,CHEMBL4161676,0
334,CHEMBL398744,1
335,CHEMBL436274,0
336,CHEMBL244990,1
337,CHEMBL240865,0
338,CHEMBL330470,0
339,CHEMBL207566,0
340,CHEMBL95759,0
341,CHEMBL51,0
342,CHEMBL4462814,0
343,CHEMBL2037531,0
344,CHEMBL888,0
345,CHEMBL5196873,0
346,CHEMBL4873623,1
347,CHEMBL566155,1
348,CHEMBL3918282,3
349,CHEMBL553311,0
350,CHEMBL207488,0
351,CHEMBL3354065,0
352,CHEMBL154508,0
353,CHEMBL244278,0
354,CHEMBL1223802,0
355,CHEMBL165,0
356,CHEMBL55,2
357,CHEMBL4458742,0
358,CHEMBL465014,0
359,CHEMBL398619,1
360,CHEMBL4437341,0
361,CHEMBL319116,0
362,CHEMBL4790288,0
363,CHEMBL1945041,0
364,CHEMBL4568709,0
365,CHEMBL1765632,1
366,CHEMBL312255,1
367,CHEMBL71216,0
368,CHEMBL211026,0
369,CHEMBL1644978,0
370,CHEMBL1087743,0
371,CHEMBL91460,1
372,CHEMBL4759759,0
373,CHEMBL60815,0
374,CHEMBL381472,0
375,CHEMBL3818047,0
376,CHEMBL3775589,1
377,CHEMBL198599,1
378,CHEMBL150181,0
379,CHEMBL228972,0
380,CHEMBL4440695,0
381,CHEMBL4521525,0
382,CHEMBL5188796,0
383,CHEMBL2387229,0
384,CHEMBL4454068,0
385,CHEMBL51023,0
386,CHEMBL2029926,0
387,CHEMBL416732,1
388,CHEMBL5196870,0
389,CHEMBL514382,0
390,CHEMBL3287281,1
391,CHEMBL244989,0
392,CHEMBL366304,0
393,CHEMBL29610,0
394,CHEMBL3423331,0
395,CHEMBL90433,1
396,CHEMBL334956,0
397,CHEMBL441092,1
398,CHEMBL4557247,0
399,CHEMBL2396663,0
400,CHEMBL484358,1
401,CHEMBL539235,0
402,CHEMBL4846146,1
403,CHEMBL3597648,1
404,CHEMBL3676894,0
405,CHEMBL4864969,0
406,CHEMBL425057,0
407,CHEMBL424808,1
408,CHEMBL336930,0
409,CHEMBL1223857,0
410,CHEMBL157322,0
411,CHEMBL1257970,0
412,CHEMBL130261,0
413,CHEMBL3676880,0
414,CHEMBL4756233,0
415,CHEMBL4078379,0
416,CHEMBL443006,3
417,CHEMBL243859,0
418,CHEMBL212847,0
419,CHEMBL477206,0
420,CHEMBL4747425,0
421,CHEMBL489576,0
422,CHEMBL4588808,0
423,CHEMBL61717,1
424,CHEMBL345820,0
425,CHEMBL4579251,0
426,CHEMBL150161,1
427,CHEMBL4853700,0
428,CHEMBL3358098,0
429,CHEMBL3358519,0
430,CHEMBL322179,0
431,CHEMBL380054,0
432,CHEMBL4162279,3
433,CHEMBL240841,0
434,CHEMBL187122,1
435,CHEMBL244774,0
436,CHEMBL4445988,0
437,CHEMBL491818,0
438,CHEMBL381325,4
439,CHEMBL3423340,0
440,CHEMBL3676854,0
441,CHEMBL3126735,0
442,CHEMBL3358505,0
443,CHEMBL458019,0
444,CHEMBL3358504,0
445,CHEMBL30713,1
446,CHEMBL1036,1
447,CHEMBL129159,0
448,CHEMBL202253,0
449,CHEMBL4482896,0
450,CHEMBL3676862,1
451,CHEMBL25938,1
452,CHEMBL60185,0
453,CHEMBL2037524,0
454,CHEMBL2059304,0
455,CHEMBL182075,1
456,CHEMBL4862405,0
457,CHEMBL291824,0
458,CHEMBL318166,0
459,CHEMBL3695423,0
460,CHEMBL157101,3
461,CHEMBL3676899,0
462,CHEMBL2326487,0
463,CHEMBL180010,0
464,CHEMBL206307,0
465,CHEMBL3970299,0
466,CHEMBL593744,0
467,CHEMBL4571862,1
468,CHEMBL57407,0
469,CHEMBL4757755,0
470,CHEMBL424294,0
471,CHEMBL4752919,0
472,CHEMBL291801,1
473,CHEMBL105601,0
474,CHEMBL52770,0
475,CHEMBL3758920,0
476,CHEMBL3986927,0
477,CHEMBL4469584,3
478,CHEMBL3676901,0
479,CHEMBL4465318,0
480,CHEMBL317670,0
481,CHEMBL311469,0
482,CHEMBL1170095,0
483,CHEMBL2059321,0
484,CHEMBL4515160,1
485,CHEMBL151533,0
486,CHEMBL3819642,0
487,CHEMBL5193798,0
488,CHEMBL164471,1
489,CHEMBL477250,0
490,CHEMBL346805,0
491,CHEMBL4472382,0
492,CHEMBL152262,0
493,CHEMBL1454946,0
494,CHEMBL80845,0
495,CHEMBL64376,0
496,CHEMBL4874069,0
497,CHEMBL240863,0
498,CHEMBL3818989,0
499,CHEMBL113471,0
500,CHEMBL4519938,0
501,CHEMBL199226,0
502,CHEMBL222188,0
503,CHEMBL4872467,3
504,CHEMBL4862890,0
505,CHEMBL196169,0
506,CHEMBL4080675,0
507,CHEMBL4287471,0
508,CHEMBL3613874,0
509,CHEMBL4797282,0
510,CHEMBL3323005,0
511,CHEMBL3423329,0
512,CHEMBL416939,0
513,CHEMBL378455,0
514,CHEMBL277474,0
515,CHEMBL413965,0
516,CHEMBL3597635,0
517,CHEMBL3588917,0
518,CHEMBL2029917,0
519,CHEMBL4518618,1
520,CHEMBL3664832,0
521,CHEMBL4063176,0
522,CHEMBL287198,0
523,CHEMBL328002,1
524,CHEMBL71173,0
525,CHEMBL2029927,0
526,CHEMBL225512,1
527,CHEMBL4453478,2
528,CHEMBL76355,3
529,CHEMBL4436025,1
530,CHEMBL271511,0
531,CHEMBL5190996,1
532,CHEMBL319650,0
533,CHEMBL216794,0
534,CHEMBL303556,0
535,CHEMBL3676867,0
536,CHEMBL3676891,0
537,CHEMBL5204274,0
538,CHEMBL218203,0
539,CHEMBL78287,1
540,CHEMBL77148,1
541,CHEMBL4451683,1
542,CHEMBL4483569,0
543,CHEMBL3771309,3
544,CHEMBL565935,1
545,CHEMBL4080034,0
546,CHEMBL4517102,1
547,CHEMBL2207642,0
548,CHEMBL4529368,0
549,CHEMBL256658,0
550,CHEMBL538755,0
551,CHEMBL207386,0
552,CHEMBL4638308,0
553,CHEMBL605831,0
554,CHEMBL91498,0
555,CHEMBL599636,1
556,CHEMBL3358515,0
557,CHEMBL2386604,0
558,CHEMBL3588981,0
559,CHEMBL370125,0
560,CHEMBL241659,1
561,CHEMBL917,0
562,CHEMBL1202223,0
563,CHEMBL4098720,0
564,CHEMBL5205324,0
565,CHEMBL1627310,1
566,CHEMBL4760271,0
567,CHEMBL129237,0
568,CHEMBL4568916,3
569,CHEMBL174049,0
570,CHEMBL1092929,0
571,CHEMBL3588990,1
572,CHEMBL212631,0
573,CHEMBL1177,1
574,CHEMBL212545,0
575,CHEMBL304605,0
576,CHEMBL91669,0
577,CHEMBL3287898,0
578,CHEMBL335259,0
579,CHEMBL708,0
580,CHEMBL4294744,0
581,CHEMBL458792,0
582,CHEMBL210551,0
583,CHEMBL3216758,0
584,CHEMBL4877715,0
585,CHEMBL340313,2
586,CHEMBL77017,1
587,CHEMBL4866981,0
588,CHEMBL1081747,1
589,CHEMBL198949,0
590,CHEMBL4747083,0
591,CHEMBL539288,1
592,CHEMBL3899099,0
593,CHEMBL4060461,0
594,CHEMBL1834255,0
595,CHEMBL3358106,0
596,CHEMBL370652,0
597,CHEMBL1079667,1
598,CHEMBL340220,0
599,CHEMBL97440,0
600,CHEMBL198040,0
601,CHEMBL3423378,0
602,CHEMBL4541606,0
603,CHEMBL433255,0
604,CHEMBL3981856,0
605,CHEMBL1940404,0
606,CHEMBL20734,3
607,CHEMBL1242923,0
608,CHEMBL4579971,0
609,CHEMBL24052,0
610,CHEMBL4473083,0
611,CHEMBL93403,0
612,CHEMBL4742122,0
613,CHEMBL447476,0
614,CHEMBL3289985,0
615,CHEMBL156198,0
616,CHEMBL111749,0
617,CHEMBL4437523,0
618,CHEMBL4474020,0
619,CHEMBL1813587,0
620,CHEMBL175734,0
621,CHEMBL238859,1
622,CHEMBL241101,0
623,CHEMBL4068843,0
624,CHEMBL4570554,0
625,CHEMBL4476394,1
626,CHEMBL1081687,0
627,CHEMBL4455719,3
628,CHEMBL3676846,0
629,CHEMBL3676856,0
630,CHEMBL93703,1
631,CHEMBL2113349,0
632,CHEMBL157222,0
633,CHEMBL313851,1
634,CHEMBL187236,1
635,CHEMBL186558,0
636,CHEMBL29436,0
637,CHEMBL1202212,0
638,CHEMBL4440708,0
639,CHEMBL4635603,0
640,CHEMBL538977,0
641,CHEMBL4279397,3
642,CHEMBL4204832,0
643,CHEMBL5204418,0
644,CHEMBL58662,0
645,CHEMBL175544,0
